date;cases;isolation_level
20210322;4783;0.42473659552517995
20210323;20934;0.44477149799999977
20210324;20379;0.42881695174100715
20210325;18445;0.4267315004316549
20210326;21508;0.4301565656834531
20210327;18127;0.45665800182014404
20210328;9565;0.5100220981942446
20210329;5266;0.43083500287050336
20210330;21354;0.43216862181294957
20210331;23135;0.42651002683453204
20210401;26512;0.4234483422733813
20210402;16765;0.46758297291366896
20210403;7048;0.46428807201438843
20210404;7200;0.5060163076402875
20210405;4692;0.4291016376043166
20210406;22799;0.42226757558273376
20210407;21487;0.43409969907194246
20210408;21016;0.4197667764820146
20210409;20684;0.4137193739856115
20210410;17251;0.44053047569784176
20210411;8191;0.49426941623741044
20210412;5318;0.41289850058992816
20210413;18395;0.43451036068345295
20210414;18780;0.4181517297841727
20210415;18058;0.42728913963309334
20210416;17951;0.4257645400647483
20210417;17680;0.44114725799999993
20210418;6402;0.49382723366906467
20210419;4116;0.41214700499999973
20210420;19035;0.4278202089999999
20210421;17119;0.4829556449064749
20210422;7288;0.41166006456115106
20210423;17827;0.4247127200575539
20210424;16082;0.4400714815971224
20210425;6567;0.49049280260431666
20210426;4018;0.4156498942302158
20210427;17955;0.40722014315827354
20210428;17018;0.4119015299280575
20210429;14875;0.4080701562302158
20210430;15541;0.42134175787050365
20210501;14240;0.4355193302589928
20210502;5371;0.48057496635971214
20210503;3174;0.40205565228057544
20210504;15427;0.4064908086978417
20210505;14205;0.40307024442446027
20210506;13500;0.39941462326618715
20210507;14506;0.39584175451079134
20210508;12984;0.41994959269064736
20210509;5849;0.46265072720863315
20210510;3236;0.4020968181223023
20210511;16272;0.405576466410072
20210512;15696;0.4058196660719426
20210513;15615;0.40692952900719415
20210514;15937;0.3975820694460433
20210515;15348;0.42577318360431643
20210516;7593;0.4755972487266188
20210517;4066;0.4014384564100719
20210518;15777;0.4089912788345322
20210519;16742;0.4078942609352516
20210520;17871;0.40627941158992803
20210521;16611;0.40132999271942443
20210522;16724;0.4324212968561149
20210523;7510;0.4850332732517988
20210524;4632;0.4087211598129497
